令和7年1月1日住民基本台帳人口・世帯数、令和6年（1月1日から同年12月31日まで）人口動態（市区町村別）（外国人住民）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,令和7年,令和7年,令和7年,令和7年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年
,,,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年
,,,人口,人口,人口,世帯数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
,,,男,女,計,世帯数,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（国籍喪失）,その他（その他）,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（帰化等）,その他（その他）,その他（計）,計（Ｂ）,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,人,人,人,世帯,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,％,人,％,人,％
132144,東京都,国分寺市,1569 ,1666 ,3235 ,1895 ,793 ,384 ,1177 ,22 ,0 ,4 ,4 ,1203 ,568 ,117 ,685 ,3 ,3 ,63 ,66 ,754 ,449 ,16.12 ,19 ,0.68 ,430 ,15.43 
132152,東京都,国立市,969 ,1046 ,2015 ,1149 ,378 ,236 ,614 ,2 ,0 ,0 ,0 ,616 ,317 ,126 ,443 ,5 ,6 ,64 ,70 ,518 ,98 ,5.11 ,-3 ,-0.16 ,101 ,5.27 
132187,東京都,福生市,2446 ,2160 ,4606 ,3069 ,869 ,841 ,1710 ,35 ,0 ,21 ,21 ,1766 ,945 ,137 ,1082 ,9 ,9 ,198 ,207 ,1298 ,468 ,11.31 ,26 ,0.63 ,442 ,10.68 
132195,東京都,狛江市,883 ,767 ,1650 ,932 ,312 ,200 ,512 ,3 ,0 ,2 ,2 ,517 ,224 ,97 ,321 ,1 ,6 ,31 ,37 ,359 ,158 ,10.59 ,2 ,0.13 ,156 ,10.46 
132209,東京都,東大和市,625 ,842 ,1467 ,729 ,209 ,87 ,296 ,7 ,0 ,1 ,1 ,304 ,157 ,43 ,200 ,10 ,0 ,20 ,20 ,230 ,74 ,5.31 ,-3 ,-0.22 ,77 ,5.53 
132217,東京都,清瀬市,782 ,926 ,1708 ,868 ,361 ,149 ,510 ,5 ,0 ,4 ,4 ,519 ,205 ,50 ,255 ,4 ,1 ,27 ,28 ,287 ,232 ,15.72 ,1 ,0.07 ,231 ,15.65 
132225,東京都,東久留米市,1285 ,1565 ,2850 ,1305 ,426 ,316 ,742 ,17 ,0 ,27 ,27 ,786 ,327 ,166 ,493 ,7 ,15 ,44 ,59 ,559 ,227 ,8.65 ,10 ,0.38 ,217 ,8.27 
132233,東京都,武蔵村山市,962 ,1181 ,2143 ,1148 ,270 ,169 ,439 ,8 ,0 ,3 ,3 ,450 ,172 ,103 ,275 ,5 ,0 ,40 ,40 ,320 ,130 ,6.46 ,3 ,0.15 ,127 ,6.31 
132241,東京都,多摩市,1806 ,1863 ,3669 ,2174 ,636 ,459 ,1095 ,19 ,1 ,0 ,1 ,1115 ,515 ,243 ,758 ,15 ,20 ,19 ,39 ,812 ,303 ,9.00 ,4 ,0.12 ,299 ,8.88 
132250,東京都,稲城市,1088 ,962 ,2050 ,1003 ,335 ,21 ,356 ,11 ,0 ,219 ,219 ,586 ,231 ,100 ,331 ,2 ,0 ,52 ,52 ,385 ,201 ,10.87 ,9 ,0.49 ,192 ,10.38 
